Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_0805_2012Metric,17.78,-24.13,0.0,top
C2,10u,C_0805_2012Metric,17.78,-26.165,180.0,top
C3,100n,C_0402_1005Metric,31.115,-16.51,90.0,top
C7,100n,C_0402_1005Metric,38.735,-16.51,90.0,top
D1,LED,LED_0805_2012Metric,2.2375,-14.605,180.0,top
D3,ESD9B3.3ST5G,D_SOD-923,43.6,-16.51,0.0,top
D4,ESD9B3.3ST5G,D_SOD-923,43.6,-25.4,0.0,top
D5,ESD9B3.3ST5G,D_SOD-923,43.6,-15.24,0.0,top
F1,"Polyfuse 1,8A",Fuse_1206_3216Metric,12.065,-26.165,180.0,top
J1,Legacy debug,PinHeader_2x03_P2.00mm_Vertical_SMD,45.72,-20.955,0.0,top
J2,Debug,JST_PH_S4B-PH-SM4-TB_1x04-1MP_P2.00mm_Horizontal,56.515,-20.955,90.0,top
R12,750R,R_0402_1005Metric,7.62,-14.605,180.0,top
R3,5k1,R_0402_1005Metric,10.795,-19.685,180.0,top
R4,5k1,R_0402_1005Metric,10.795,-22.86,180.0,top
R9,4k7,R_0402_1005Metric,22.735,-24.04,180.0,top
U3,USBLC6-2SC6,SOT-23-6,16.51,-20.32,180.0,top
U6,Interface_USB_CP2102N-A01-GQFN28,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,24.765,-20.23,0.0,top
USB1,HRO-TYPE-C-31-M-12,USB_C_Receptacle_HRO_TYPE-C-31-M-12,4.0,-21.0,-90.0,top
